Daily P pools (kg P/ha) and fluxes (kg P/ha/day) at site test_site in year 1
Day,OrganicP,LabileP,SorbedP,ComplexP,CropDemandP,DayUptakeP,CropP, Leach_P, SO4, H2S_flux
  1,  64.58,   0.02,  16.13,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  2,  64.57,   0.02,  16.13,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  3,  64.57,   0.02,  16.14,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  4,  64.57,   0.02,  16.14,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  5,  64.56,   0.01,  16.14,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  6,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  7,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  8,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
  9,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 10,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 11,  64.56,   0.01,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 12,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 13,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 14,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 15,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 16,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 17,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 18,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 19,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 20,  64.56,   0.00,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 21,  64.56,   0.01,  16.16,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
 22,  64.56,   0.01,  16.15,   0.00,   0.00,   0.00,   0.00,   0.00,   0.05,   0.00
